,class,precision,recall,f1-score,support,corpus
0,0,0.6358839050131926,0.7109144542772862,0.6713091922005571,339.0,ig
1,accuracy,0.6060100166944908,0.6060100166944908,0.6060100166944908,0.6060100166944908,ig
2,weighted avg,0.6005784006365451,0.6060100166944908,0.6005684187356519,599.0,ig
3,macro avg,0.5952146797793236,0.5900726117540277,0.5898212627669452,599.0,ig
4,1,0.5545454545454546,0.46923076923076923,0.5083333333333333,260.0,ig
0,0,0.8641304347826086,0.9814814814814815,0.9190751445086706,162.0,bo
1,accuracy,0.851063829787234,0.851063829787234,0.851063829787234,0.851063829787234,bo
2,weighted avg,0.7791975023126734,0.851063829787234,0.8011888656581806,188.0,bo
3,macro avg,0.5570652173913043,0.50997150997151,0.4928709055876686,188.0,bo
4,1,0.25,0.038461538461538464,0.06666666666666667,26.0,bo
0,0,0.5847953216374269,0.6920415224913494,0.6339144215530903,289.0,cl
1,accuracy,0.5975609756097561,0.5975609756097561,0.5975609756097561,0.5975609756097561,cl
2,weighted avg,0.6004772672499864,0.5975609756097561,0.5938342200294917,574.0,cl
3,macro avg,0.6005873159911272,0.5968979542281309,0.5935529554573962,574.0,cl
4,1,0.6163793103448276,0.5017543859649123,0.5531914893617021,285.0,cl
0,1,0.6947115384615384,0.6880952380952381,0.6913875598086124,420.0,co
1,weighted avg,0.6669800171895144,0.6666666666666666,0.6668055480888124,774.0,co
2,accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,co
3,macro avg,0.6643948753760206,0.6646690879741728,0.6645140046234073,774.0,co
4,0,0.6340782122905028,0.6412429378531074,0.6376404494382022,354.0,co
0,1,0.6324503311258278,0.7827868852459017,0.6996336996336996,244.0,gl
1,accuracy,0.6009732360097324,0.6009732360097324,0.6009732360097324,0.6009732360097324,gl
2,weighted avg,0.5842239560396999,0.6009732360097324,0.5802402400307827,411.0,gl
3,macro avg,0.573105899507868,0.5590581132816335,0.5527154005414875,411.0,gl
4,0,0.5137614678899083,0.33532934131736525,0.4057971014492754,167.0,gl
0,0,0.6174496644295302,0.6433566433566433,0.6301369863013698,143.0,lu
1,accuracy,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6029411764705882,lu
2,weighted avg,0.6022334453506398,0.6029411764705882,0.6022936571889029,272.0,lu
3,macro avg,0.6014077590440334,0.6007480891201822,0.6007827788649707,272.0,lu
4,1,0.5853658536585366,0.5581395348837209,0.5714285714285714,129.0,lu
