,class,precision,recall,f1-score,support,corpus
0,0,0.782258064516129,0.8584070796460177,0.8185654008438819,339.0,ig
1,accuracy,0.7846410684474123,0.7846410684474123,0.7846410684474123,0.7846410684474123,ig
2,weighted avg,0.7849874963316958,0.7846410684474123,0.7823422943835859,599.0,ig
3,macro avg,0.7854021600113685,0.7734343090537781,0.7768391685944256,599.0,ig
4,1,0.788546255506608,0.6884615384615385,0.7351129363449692,260.0,ig
0,0,0.8702702702702703,0.9938271604938271,0.9279538904899135,162.0,bo
1,accuracy,0.8670212765957447,0.8670212765957447,0.8670212765957447,0.8670212765957447,bo
2,weighted avg,0.8421123250910486,0.8670212765957447,0.8186954104038175,188.0,bo
3,macro avg,0.7684684684684684,0.535375118708452,0.532942462486336,188.0,bo
4,1,0.6666666666666666,0.07692307692307693,0.13793103448275862,26.0,bo
0,0,0.6990595611285266,0.7716262975778547,0.7335526315789473,289.0,cl
1,accuracy,0.7177700348432056,0.7177700348432056,0.7177700348432056,0.7177700348432056,cl
2,weighted avg,0.7199712670449324,0.7177700348432056,0.7168932239134421,574.0,cl
3,macro avg,0.720118015858381,0.7173920961573483,0.7167763157894737,574.0,cl
4,1,0.7411764705882353,0.6631578947368421,0.7,285.0,cl
0,1,0.7036199095022625,0.7404761904761905,0.7215777262180975,420.0,co
1,accuracy,0.689922480620155,0.689922480620155,0.689922480620155,0.689922480620155,co
2,weighted avg,0.6890148196701358,0.689922480620155,0.6889072978167224,774.0,co
3,macro avg,0.6876533282451072,0.6852098466505246,0.6858617494064247,774.0,co
4,0,0.6716867469879518,0.6299435028248588,0.6501457725947521,354.0,co
0,1,0.7969348659003831,0.8524590163934426,0.8237623762376237,244.0,gl
1,accuracy,0.7834549878345499,0.7834549878345499,0.7834549878345499,0.7834549878345499,gl
2,weighted avg,0.781927268320422,0.7834549878345499,0.7812933928728708,411.0,gl
3,macro avg,0.7784674329501915,0.7675468734661823,0.7715026392229127,411.0,gl
4,0,0.76,0.6826347305389222,0.7192429022082019,167.0,gl
0,0,0.6818181818181818,0.7342657342657343,0.7070707070707071,143.0,lu
1,accuracy,0.6801470588235294,0.6801470588235294,0.6801470588235294,0.6801470588235294,lu
2,weighted avg,0.6799912761714855,0.6801470588235294,0.6789480299542219,272.0,lu
3,macro avg,0.6798921417565484,0.6772103865127121,0.6774219932114669,272.0,lu
4,1,0.6779661016949152,0.6201550387596899,0.6477732793522267,129.0,lu
