,class,precision,recall,f1-score,support,Target
0,0,0.7225950782997763,0.9528023598820059,0.821882951653944,339.0,Church
1,accuracy,0.7662771285475793,0.7662771285475793,0.7662771285475793,0.7662771285475793,Church
2,weighted avg,0.7973143747762814,0.7662771285475793,0.7517008448206682,599.0,Church
3,macro avg,0.8086659602025197,0.7379396414794646,0.7410385632056128,599.0,Church
4,1,0.8947368421052632,0.5230769230769231,0.6601941747572816,260.0,Church
0,0,0.896551724137931,0.9629629629629629,0.9285714285714286,162.0,Bolsonaro
1,accuracy,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.8723404255319149,Bolsonaro
2,weighted avg,0.8515878838696154,0.8723404255319149,0.8554711246200609,188.0,Bolsonaro
3,macro avg,0.7339901477832512,0.6353276353276354,0.6642857142857144,188.0,Bolsonaro
4,1,0.5714285714285714,0.3076923076923077,0.4,26.0,Bolsonaro
0,0,0.5825892857142857,0.903114186851211,0.7082767978290366,289.0,Hidroxicloroquina
1,accuracy,0.6254355400696864,0.6254355400696864,0.6254355400696864,0.6254355400696864,Hidroxicloroquina
2,weighted avg,0.6795034324705491,0.6254355400696864,0.5933874622503758,574.0,Hidroxicloroquina
3,macro avg,0.6801835317460317,0.6234869179870091,0.5925812212989465,574.0,Hidroxicloroquina
4,1,0.7777777777777778,0.34385964912280703,0.4768856447688564,285.0,Hidroxicloroquina
0,0,0.5292207792207793,0.9209039548022598,0.6721649484536083,354.0,Sinovac
1,accuracy,0.5891472868217055,0.5891472868217055,0.5891472868217055,0.5891472868217055,Sinovac
2,macro avg,0.6760027946736809,0.6152138821630346,0.5609959690364927,774.0,Sinovac
3,weighted avg,0.6885190905650135,0.5891472868217055,0.5515164436598394,774.0,Sinovac
4,1,0.8227848101265823,0.30952380952380953,0.44982698961937717,420.0,Sinovac
0,0,0.5709219858156028,0.9640718562874252,0.7171492204899778,167.0,Globo TV
1,accuracy,0.6909975669099757,0.6909975669099757,0.6909975669099757,0.6909975669099757,Globo TV
2,macro avg,0.7622051789543131,0.7340851084715814,0.6883333233817182,411.0,Globo TV
3,weighted avg,0.7980416895910057,0.6909975669099757,0.6829347246534067,411.0,Globo TV
4,1,0.9534883720930233,0.5040983606557377,0.6595174262734584,244.0,Globo TV
0,0,0.6885245901639344,0.8811188811188811,0.7730061349693251,143.0,Lula
1,accuracy,0.7279411764705882,0.7279411764705882,0.7279411764705882,0.7279411764705882,Lula
2,weighted avg,0.745656496158972,0.7279411764705882,0.7196723767460494,272.0,Lula
3,macro avg,0.7487566771044392,0.719629208001301,0.7167782968424607,272.0,Lula
4,1,0.8089887640449438,0.5581395348837209,0.6605504587155964,129.0,Lula
