,class,precision,recall,f1-score,support,corpus
0,0,0.6520547945205479,0.7020648967551623,0.6761363636363636,339.0,ig
1,accuracy,0.6193656093489148,0.6193656093489148,0.6193656093489148,0.6193656093489148,ig
2,weighted avg,0.6157334776631779,0.6193656093489148,0.6163776749127333,599.0,ig
3,macro avg,0.6102154314483081,0.6068016791468118,0.607298951048951,599.0,ig
4,1,0.5683760683760684,0.5115384615384615,0.5384615384615384,260.0,ig
0,0,0.8663101604278075,1.0,0.9283667621776505,162.0,bo
1,accuracy,0.8670212765957447,0.8670212765957447,0.8670212765957447,0.8670212765957447,bo
2,weighted avg,0.8847991807941745,0.8670212765957447,0.8102199010569431,188.0,bo
3,macro avg,0.9331550802139037,0.5192307692307693,0.5012204181258623,188.0,bo
4,1,1.0,0.038461538461538464,0.07407407407407407,26.0,bo
0,0,0.591304347826087,0.7058823529411765,0.6435331230283912,289.0,cl
1,accuracy,0.6062717770034843,0.6062717770034843,0.6062717770034843,0.6062717770034843,cl
2,weighted avg,0.6099319343569091,0.6062717770034843,0.602212175101938,574.0,cl
3,macro avg,0.6100626542623885,0.6055727554179566,0.6019222035375419,574.0,cl
4,1,0.62882096069869,0.5052631578947369,0.5603112840466926,285.0,cl
0,1,0.6990521327014217,0.7023809523809523,0.7007125890736342,420.0,co
1,accuracy,0.6744186046511628,0.6744186046511628,0.6744186046511628,0.6744186046511628,co
2,weighted avg,0.6742786414236044,0.6744186046511628,0.6743441174431671,774.0,co
3,macro avg,0.6719692481688927,0.6718119451170299,0.67188603957931,774.0,co
4,0,0.6448863636363636,0.6412429378531074,0.6430594900849859,354.0,co
0,1,0.6208053691275168,0.7581967213114754,0.6826568265682657,244.0,gl
1,accuracy,0.5815085158150851,0.5815085158150851,0.5815085158150851,0.5815085158150851,gl
2,weighted avg,0.5627294885684364,0.5815085158150851,0.5620013415984003,411.0,gl
3,macro avg,0.5493407376611036,0.5407750073623245,0.5341855561412757,411.0,gl
4,0,0.4778761061946903,0.32335329341317365,0.38571428571428573,167.0,gl
0,0,0.5882352941176471,0.6293706293706294,0.6081081081081081,143.0,lu
1,accuracy,0.5735294117647058,0.5735294117647058,0.5735294117647058,0.5735294117647058,lu
2,weighted avg,0.5722936233316858,0.5735294117647058,0.5721351094927944,272.0,lu
3,macro avg,0.5714285714285714,0.5704992681736868,0.5701830863121186,272.0,lu
4,1,0.5546218487394958,0.5116279069767442,0.532258064516129,129.0,lu
