,class,precision,recall,f1-score,support,corpus
0,0,0.7323943661971831,0.7669616519174042,0.7492795389048992,339.0,ig
1,accuracy,0.7095158597662772,0.7095158597662772,0.7095158597662772,0.7095158597662772,ig
2,weighted avg,0.7080156298363817,0.7095158597662772,0.7082535207460035,599.0,ig
3,macro avg,0.7043119371969522,0.7007885182663944,0.702020721833402,599.0,ig
4,1,0.6762295081967213,0.6346153846153846,0.6547619047619048,260.0,ig
0,0,0.8813559322033898,0.9629629629629629,0.9203539823008849,162.0,bo
1,accuracy,0.8563829787234043,0.8563829787234043,0.8563829787234043,0.8563829787234043,bo
2,weighted avg,0.8223289512506966,0.8563829787234043,0.830448788083885,188.0,bo
3,macro avg,0.6679506933744221,0.5776353276353277,0.5953121262855776,188.0,bo
4,1,0.45454545454545453,0.19230769230769232,0.2702702702702703,26.0,bo
0,0,0.7160883280757098,0.7854671280276817,0.7491749174917491,289.0,cl
1,accuracy,0.735191637630662,0.735191637630662,0.735191637630662,0.735191637630662,cl
2,weighted avg,0.7372729320568824,0.735191637630662,0.7344692541692036,574.0,cl
3,macro avg,0.7374215959444697,0.7348388271717357,0.7343660565318524,574.0,cl
4,1,0.7587548638132295,0.6842105263157895,0.7195571955719557,285.0,cl
0,1,0.7532751091703057,0.8214285714285714,0.785876993166287,420.0,co
1,accuracy,0.7571059431524548,0.7571059431524548,0.7571059431524548,0.7571059431524548,co
2,weighted avg,0.7575666130617006,0.7571059431524548,0.7554741522561479,774.0,co
3,macro avg,0.7579666685092035,0.7511097659402743,0.7526399891204569,774.0,co
4,0,0.7626582278481012,0.6807909604519774,0.7194029850746269,354.0,co
0,1,0.708185053380783,0.8155737704918032,0.758095238095238,244.0,gl
1,accuracy,0.6909975669099757,0.6909975669099757,0.6909975669099757,0.6909975669099757,gl
2,weighted avg,0.6861057438375151,0.6909975669099757,0.6826385977724176,411.0,gl
3,macro avg,0.6810156036134685,0.6622779032099735,0.6652429052429052,411.0,gl
4,0,0.6538461538461539,0.5089820359281437,0.5723905723905723,167.0,gl
0,0,0.689922480620155,0.6223776223776224,0.6544117647058824,143.0,lu
1,1,0.6223776223776224,0.689922480620155,0.6544117647058824,129.0,lu
2,accuracy,0.6544117647058824,0.6544117647058824,0.6544117647058824,0.6544117647058824,lu
3,macro avg,0.6561500514988887,0.6561500514988887,0.6544117647058824,272.0,lu
4,weighted avg,0.6578883382918951,0.6544117647058824,0.6544117647058824,272.0,lu
