,class,precision,recall,f1-score,support,corpus
0,0,0.7265193370165746,0.775811209439528,0.7503566333808844,339.0,ig
1,accuracy,0.7078464106844741,0.7078464106844741,0.7078464106844741,0.7078464106844741,ig
2,weighted avg,0.7060342701543547,0.7078464106844741,0.7058791367971151,599.0,ig
3,macro avg,0.7029221157656713,0.6975209893351486,0.6991219786622732,599.0,ig
4,1,0.679324894514768,0.6192307692307693,0.647887323943662,260.0,ig
0,0,0.9085714285714286,0.9814814814814815,0.9436201780415431,162.0,bo
1,accuracy,0.898936170212766,0.898936170212766,0.898936170212766,0.898936170212766,bo
2,weighted avg,0.8893009118541034,0.898936170212766,0.884041500936507,188.0,bo
3,macro avg,0.838901098901099,0.6830484330484331,0.7282203454310279,188.0,bo
4,1,0.7692307692307693,0.38461538461538464,0.5128205128205128,26.0,bo
0,0,0.8969072164948454,0.903114186851211,0.9,289.0,cl
1,accuracy,0.8989547038327527,0.8989547038327527,0.8989547038327527,0.8989547038327527,cl
2,weighted avg,0.8989691737079322,0.8989547038327527,0.8989510232124455,574.0,cl
3,macro avg,0.8989836435831118,0.8989255144782371,0.898943661971831,574.0,cl
4,1,0.901060070671378,0.8947368421052632,0.897887323943662,285.0,cl
0,1,0.8365180467091295,0.9380952380952381,0.8843995510662177,420.0,co
1,accuracy,0.8669250645994832,0.8669250645994832,0.8669250645994832,0.8669250645994832,co
2,weighted avg,0.8720430775117209,0.8669250645994832,0.8655685976134809,774.0,co
3,macro avg,0.8753547329255218,0.8602905569007264,0.8638131697492428,774.0,co
4,0,0.9141914191419142,0.7824858757062146,0.8432267884322678,354.0,co
0,1,0.6600660066006601,0.819672131147541,0.7312614259597806,244.0,gl
1,accuracy,0.6423357664233577,0.6423357664233577,0.6423357664233577,0.6423357664233577,gl
2,weighted avg,0.6326498018820536,0.6423357664233577,0.6232571703773614,411.0,gl
3,macro avg,0.6263292995966263,0.6014528320408363,0.598357985707163,411.0,gl
4,0,0.5925925925925926,0.38323353293413176,0.46545454545454545,167.0,gl
0,0,0.7602739726027398,0.7762237762237763,0.7681660899653979,143.0,lu
1,accuracy,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7536764705882353,lu
2,weighted avg,0.7535193872069376,0.7536764705882353,0.7535060044779157,272.0,lu
3,macro avg,0.753152859317243,0.7524529733832059,0.7527104959630911,272.0,lu
4,1,0.746031746031746,0.7286821705426356,0.7372549019607844,129.0,lu
